DATE,DESCRIPTION,AMOUNT,Payee,ADDED OR MATCHED,Rule
"07/31/2025","THE HOME DEPOT #4287","-$16.86","Home Depot","Added to:  Expense: Cost Of Goods Sold:Supplies & Materials - COGS 07/31/2025 $16.86","Auto-add RULE APPLIED "
"07/30/2025","THE HOME DEPOT #4287","-$12.42","Home Depot","Added to:  Expense: Cost Of Goods Sold:Supplies & Materials - COGS 07/30/2025 $12.42","Auto-add RULE APPLIED "
"07/30/2025","LANSING BP WEST BRIDGEWA","-$432.97","Lansing Building Products","Added to:  Expense: Cost Of Goods Sold:Supplies & Materials - COGS 07/30/2025 $432.97","Auto-add RULE APPLIED "
"07/29/2025","TOWN OF WARREN, RI","-$70.41","","Added to:  Expense: Cost Of Goods Sold:Licenses & Permits - COGS 07/29/2025 $70.41",""
"07/29/2025","EXXON JOE'S KWIK MARTS","-$45.26","Exxon","Added to:  Expense: Vehicle Expenses:Vehicle Gas & Fuel 07/29/2025 $45.26","Auto-add RULE APPLIED "
"07/29/2025","THE HOME DEPOT #4287","-$108.01","Home Depot","Added to:  Expense: Cost Of Goods Sold:Supplies & Materials - COGS 07/29/2025 $108.01","Auto-add RULE APPLIED "
"07/29/2025","RIVERHEAD BUILDING SUPPL","-$362.73","Riverhead Building Supply Corp.","Added to:  Expense: Cost Of Goods Sold:Supplies & Materials - COGS 07/29/2025 $362.73","Auto-add RULE APPLIED "
"07/28/2025","RIVERHEAD BUILDING SUPPL","-$266.43","Riverhead Building Supply Corp.","Added to:  Expense: Cost Of Goods Sold:Supplies & Materials - COGS 07/28/2025 $266.43","Auto-add RULE APPLIED "
"07/28/2025","IN *PVC DIRECT","-$777.85","","Added to:  Expense: Cost Of Goods Sold:Supplies & Materials - COGS 07/28/2025 $777.85",""
"07/28/2025","SHERWIN-WILLIAMSXX5418","-$85.89","Sherwin Williams","Added to:  Expense: Cost Of Goods Sold:Supplies & Materials - COGS 07/28/2025 $85.89","Auto-add RULE APPLIED "
"07/28/2025","SCITUATE PORTABLE RESTROO","-$170.78","Scituate Portable Restrooms Inc","Added to:  Expense: Rent:Equipment Rental 07/28/2025 $170.78",""
"07/25/2025","SCITUATE PORTABLE RESTROO","-$170.78","Scituate Portable Restrooms Inc","Added to:  Expense: Rent:Equipment Rental 07/25/2025 $170.78",""
"07/24/2025","THE HOME DEPOT 4285","-$53.22","Home Depot","Added to:  Expense: Cost Of Goods Sold:Supplies & Materials - COGS 07/24/2025 $53.22","Auto-add RULE APPLIED "
"07/22/2025","THE HOME DEPOT #4285","-$15.07","Home Depot","Added to:  Expense: Cost Of Goods Sold:Supplies & Materials - COGS 07/22/2025 $15.07","Auto-add RULE APPLIED "
"07/22/2025","CITY OF PROVIDENCE, RI","-$1,245.11","City of Newport","Added to:  Expense: Cost Of Goods Sold:Licenses & Permits - COGS 07/22/2025 $1,245.11","Auto-add RULE APPLIED "
"07/21/2025","SP WIDGETCO.COM","-$10.95","","Added to:  Expense: Cost Of Goods Sold:Supplies & Materials - COGS 07/21/2025 $10.95",""
"07/21/2025","CITY OF PROVIDENCE, RI","-$206.97","City of Providence","Added to:  Expense: Cost Of Goods Sold:Licenses & Permits - COGS 07/21/2025 $206.97","Auto-add RULE APPLIED "
"07/16/2025","SCITUATE PORTABLE RESTROO","-$170.78","Scituate Portable Restrooms Inc","Added to:  Expense: Rent:Equipment Rental 07/16/2025 $170.78",""
"07/16/2025","SCITUATE PORTABLE RESTROO","-$170.78","Scituate Portable Restrooms Inc","Added to:  Expense: Rent:Equipment Rental 07/16/2025 $170.78",""
"07/16/2025","SQ *PETER BOTTACHIARI","-$675.00","PETER BOTTACHIARI / Ocean State Disposal","Added to:  Expense: Cost Of Goods Sold:Disposal & Waste Fees - COGS 07/16/2025 $675.00","Auto-add RULE APPLIED "
"07/14/2025","SQ *PETER BOTTACHIARI","-$430.00","PETER BOTTACHIARI / Ocean State Disposal","Added to:  Expense: Cost Of Goods Sold:Disposal & Waste Fees - COGS 07/14/2025 $430.00","Auto-add RULE APPLIED "
"07/14/2025","CITY OF PROVIDENCE, RI","-$708.53","City of Newport","Added to:  Expense: Cost Of Goods Sold:Licenses & Permits - COGS 07/14/2025 $708.53","Auto-add RULE APPLIED "
"07/10/2025","THE HOME DEPOT 2615","-$51.53","Home Depot","Added to:  Expense: Cost Of Goods Sold:Supplies & Materials - COGS 07/10/2025 $51.53","Auto-add RULE APPLIED "
"07/10/2025","THE HOME DEPOT 2615","-$865.60","Home Depot","Added to:  Expense: Cost Of Goods Sold:Supplies & Materials - COGS 07/10/2025 $865.60","Auto-add RULE APPLIED "
"07/09/2025","TOWN OF MIDDLETOWN, RI","-$501.26","","Added to:  Expense: Cost Of Goods Sold:Licenses & Permits - COGS 07/09/2025 $501.26",""
"07/08/2025","CITY OF PROVIDENCE, RI","-$270.91","City of Providence","Added to:  Expense: Cost Of Goods Sold:Licenses & Permits - COGS 07/08/2025 $270.91","Auto-add RULE APPLIED "
"07/08/2025","SQ *PETER BOTTACHIARI","-$765.00","PETER BOTTACHIARI / Ocean State Disposal","Added to:  Expense: Cost Of Goods Sold:Disposal & Waste Fees - COGS 07/08/2025 $765.00","Auto-add RULE APPLIED "
